œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;54;10;29;True;05.12.2017 15:00:08;;0;;
2;69;9;32;True;05.12.2017 15:00:14;;0;;
3;96;7;32;True;05.12.2017 15:00:19;;0;;
4;108;6;29;True;05.12.2017 15:00:24;;0;;
5;93;7;26;True;05.12.2017 15:00:29;;0;;
6;66;9;26;True;05.12.2017 15:00:36;;0;;
7;30;12;29;True;05.12.2017 15:00:42;;0;;
8;57;10;35;True;05.12.2017 15:00:50;;0;;
9;111;6;35;True;05.12.2017 15:00:54;;0;;
10;132;4;29;True;05.12.2017 15:00:58;;0;;
11;105;6;23;True;05.12.2017 15:01:04;;0;;
12;51;10;23;True;05.12.2017 15:01:10;;0;;
13;18;13;26;True;05.12.2017 15:01:15;;0;;
14;21;13;32;True;05.12.2017 15:01:22;;0;;
15;33;12;35;True;05.12.2017 15:01:30;;0;;
16;72;9;38;True;05.12.2017 15:01:58;;0;;
17;99;7;38;True;05.12.2017 15:02:03;;0;;
18;135;4;35;True;05.12.2017 15:04:40;;15515;;
19;144;3;32;True;05.12.2017 15:06:07;;15515;;
20;141;3;26;True;05.12.2017 15:06:12;;15515;;
21;129;4;23;True;05.12.2017 15:06:19;;15515;;
22;90;7;20;True;05.12.2017 15:06:35;;15515;;
23;63;9;20;True;05.12.2017 15:06:41;;15515;;
24;27;12;23;True;05.12.2017 15:06:45;;15515;;
25;10;14;29;True;05.12.2017 15:07:04;;15515;;
26;46;11;38;True;05.12.2017 15:07:12;;15515;;
27;125;5;38;True;05.12.2017 15:07:16;;15515;;
28;152;2;29;True;05.12.2017 15:07:21;;15515;;
29;116;5;20;True;05.12.2017 15:07:27;;15515;;
30;37;11;20;True;05.12.2017 15:07:32;;15515;;
31;7;14;23;True;05.12.2017 15:07:36;;15515;;
32;13;14;35;True;05.12.2017 15:07:43;;15515;;
33;87;8;41;True;05.12.2017 15:07:48;;15515;;
34;155;2;35;True;05.12.2017 15:07:52;;15515;;
35;149;2;23;True;05.12.2017 15:07:57;;15515;;
36;75;8;17;True;05.12.2017 15:08:02;;15515;;
37;1;15;26;True;05.12.2017 15:08:08;;15515;;
38;4;15;32;True;05.12.2017 15:08:14;;15515;;
39;24;13;38;True;05.12.2017 15:08:19;;15515;;
40;60;10;41;True;05.12.2017 15:08:23;;15515;;
41;114;6;41;True;05.12.2017 15:08:28;;15515;;
42;147;3;38;True;05.12.2017 15:08:33;;15515;;
43;161;1;32;True;05.12.2017 15:08:38;;15515;;
44;158;1;26;True;05.12.2017 15:08:41;;15515;;
45;138;3;20;True;05.12.2017 15:08:50;;15515;;
46;102;6;17;True;05.12.2017 15:08:56;;15515;;
47;48;10;17;True;05.12.2017 15:09:02;;15515;;
48;15;13;20;True;05.12.2017 15:09:11;;15515;;
49;81;8;29;True;05.12.2017 15:09:15;;15515;;
50;40;11;26;True;05.12.2017 15:09:21;;15515;;
51;43;11;32;True;05.12.2017 15:09:27;;15515;;
52;84;8;35;True;05.12.2017 15:09:33;;15515;;
53;122;5;32;True;05.12.2017 15:09:38;;15515;;
54;119;5;26;True;05.12.2017 15:09:43;;15515;;
55;78;8;23;True;05.12.2017 15:09:50;;15515;;
56;28;12;25;True;05.12.2017 15:09:56;;15515;;
57;32;12;33;True;05.12.2017 15:10:05;;15515;;
58;85;8;37;True;05.12.2017 15:10:09;;15515;;
59;134;4;33;True;05.12.2017 15:10:12;;15515;;
60;130;4;25;True;05.12.2017 15:10:16;;15515;;
61;77;8;21;True;05.12.2017 15:10:20;;15515;;
62;53;10;27;True;05.12.2017 15:10:25;;15515;;
63;55;10;31;True;05.12.2017 15:10:31;;15515;;
64;83;8;33;True;05.12.2017 15:10:35;;15515;;
65;109;6;31;True;05.12.2017 15:10:39;;15515;;
66;107;6;27;True;05.12.2017 15:10:43;;15515;;
67;79;8;25;True;05.12.2017 15:10:51;;15515;;
68;67;9;28;True;05.12.2017 15:10:59;;15515;;
69;95;7;30;True;05.12.2017 15:11:05;;15515;;
70;68;9;30;True;05.12.2017 15:11:10;;15515;;
71;94;7;28;True;05.12.2017 15:11:15;;15515;;
72;82;8;31;True;05.12.2017 15:11:19;;15515;;
73;80;8;27;True;05.12.2017 15:11:25;;15515;;
74;38;11;22;True;05.12.2017 15:11:31;;15515;;
75;20;13;30;True;05.12.2017 15:11:35;;15515;;
76;58;10;37;True;05.12.2017 15:11:41;;15515;;
77;124;5;36;True;05.12.2017 15:11:45;;15515;;
78;142;3;28;True;05.12.2017 15:11:49;;15515;;
79;104;6;21;True;05.12.2017 15:11:57;;15515;;
80;89;7;18;True;05.12.2017 15:12:01;;15515;;
81;62;9;18;True;05.12.2017 15:12:05;;15515;;
82;16;13;22;True;05.12.2017 15:12:10;;15515;;
83;8;14;25;True;05.12.2017 15:12:14;;15515;;
84;23;13;36;True;05.12.2017 15:12:20;;15515;;
85;73;9;40;True;05.12.2017 15:12:24;;15515;;
86;100;7;40;True;05.12.2017 15:12:28;;15515;;
87;146;3;36;True;05.12.2017 15:12:32;;15515;;
88;154;2;33;True;05.12.2017 15:12:40;;15515;;
89;150;2;25;True;05.12.2017 15:12:44;;15515;;
90;139;3;22;True;05.12.2017 15:12:48;;15515;;
91;118;5;24;True;05.12.2017 15:12:52;;15515;;
92;91;7;22;True;05.12.2017 15:12:56;;15515;;
93;64;9;22;True;05.12.2017 15:13:00;;15515;;
94;39;11;24;True;05.12.2017 15:13:05;;15515;;
95;29;12;27;True;05.12.2017 15:13:09;;15515;;
96;31;12;31;True;05.12.2017 15:13:12;;15515;;
97;44;11;34;True;05.12.2017 15:13:17;;15515;;
98;71;9;36;True;05.12.2017 15:13:20;;15515;;
99;98;7;36;True;05.12.2017 15:13:24;;15515;;
100;123;5;34;True;05.12.2017 15:13:29;;15515;;
101;133;4;31;True;05.12.2017 15:13:32;;15515;;
102;131;4;27;True;05.12.2017 15:13:36;;15515;;
103;106;6;25;True;05.12.2017 15:13:41;;15515;;
104;92;7;24;True;05.12.2017 15:13:46;;15515;;
105;65;9;24;True;05.12.2017 15:13:49;;15515;;
106;52;10;25;True;05.12.2017 15:13:52;;15515;;
107;41;11;28;True;05.12.2017 15:13:55;;15515;;
108;42;11;30;True;05.12.2017 15:13:58;;15515;;
109;56;10;33;True;05.12.2017 15:14:01;;15515;;
110;70;9;34;True;05.12.2017 15:14:06;;15515;;
111;97;7;34;True;05.12.2017 15:14:08;;15515;;
112;110;6;33;True;05.12.2017 15:14:13;;15515;;
113;121;5;30;True;05.12.2017 15:14:24;;15515;;
114;120;5;28;True;05.12.2017 15:14:34;;15515;;
115;128;4;21;True;05.12.2017 15:14:38;;15515;;
116;103;6;19;True;05.12.2017 15:14:41;;15515;;
117;49;10;19;True;05.12.2017 15:15:00;;15515;;
118;26;12;21;True;05.12.2017 15:15:04;;15515;;
119;9;14;27;True;05.12.2017 15:15:07;;15515;;
120;34;12;37;True;05.12.2017 15:15:11;;15515;;
121;59;10;39;True;05.12.2017 15:15:14;;15515;;
122;113;6;39;True;05.12.2017 15:15:18;;15515;;
123;136;4;37;True;05.12.2017 15:15:26;;15515;;
124;153;2;31;True;05.12.2017 15:15:40;;15515;;
125;151;2;27;True;05.12.2017 15:15:44;;15515;;
126;76;8;19;True;05.12.2017 15:15:51;;15515;;
127;17;13;24;True;05.12.2017 15:16:01;;15515;;
128;22;13;34;True;05.12.2017 15:16:07;;15515;;
129;86;8;39;True;05.12.2017 15:16:10;;15515;;
130;145;3;34;True;05.12.2017 15:16:13;;15515;;
131;140;3;24;True;05.12.2017 15:16:18;;15515;;
132;117;5;22;True;05.12.2017 15:16:21;;15515;;
133;50;10;21;True;05.12.2017 15:16:27;;15515;;
134;19;13;28;True;05.12.2017 15:16:34;;15515;;
135;45;11;36;True;05.12.2017 15:16:41;;15515;;
136;112;6;37;True;05.12.2017 15:16:44;;15515;;
137;143;3;30;True;05.12.2017 15:16:48;;15515;;
138;157;1;24;True;05.12.2017 15:17:10;;15515;;
139;148;2;21;True;05.12.2017 15:17:14;;15515;;
140;127;4;19;True;05.12.2017 15:17:19;;15515;;
141;115;5;18;True;05.12.2017 15:17:25;;15515;;
142;88;7;16;True;05.12.2017 15:17:28;;15515;;
143;61;9;16;True;05.12.2017 15:17:31;;15515;;
144;36;11;18;True;05.12.2017 15:17:35;;15515;;
145;25;12;19;True;05.12.2017 15:17:38;;15515;;
146;6;14;21;True;05.12.2017 15:18:54;;15515;;
147;0;15;24;True;05.12.2017 15:18:56;;15515;;
148;2;15;28;True;05.12.2017 15:19:05;;15515;;
149;14;14;37;True;05.12.2017 15:19:09;;15515;;
150;35;12;39;True;05.12.2017 15:19:18;;15515;;
151;47;11;40;True;05.12.2017 15:19:24;;15515;;
152;74;9;42;True;05.12.2017 15:19:28;;15515;;
153;101;7;42;True;05.12.2017 15:19:31;;15515;;
154;126;5;40;True;05.12.2017 15:19:33;;15515;;
155;137;4;39;True;05.12.2017 15:19:35;;15515;;
156;162;1;34;True;05.12.2017 15:20:05;;15515;;
157;160;1;30;True;05.12.2017 15:20:11;;15515;;
158;159;1;28;True;05.12.2017 15:20:15;;15515;;
159;156;2;37;True;05.12.2017 15:20:18;;15515;;
160;11;14;31;True;05.12.2017 15:20:24;;15515;;
161;12;14;33;True;05.12.2017 15:20:28;;15515;;
162;3;15;30;True;05.12.2017 15:20:32;;15515;;
