ПОРЯДКОВЫЙ НОМЕР ЗАГРУЗКИ; НОМЕР ТВС; КООРДИНАТА X; КООРДИНАТА Y; СТАТУС;  ВРЕМЯ ЗАГРУЗКИ; СМЕНА; ПОВЫСОТНАЯ ОТМЕТКА; ЗАМЕЧАНИЕ 
1;54;10;29;True;08.12.2017 10:30:11;;10899;;
2;69;9;32;True;08.12.2017 11:19:52;;10899;;
3;96;7;32;True;08.12.2017 11:55:35;;10899;;
4;108;6;29;True;08.12.2017 12:29:19;;10899;;
5;93;7;26;True;08.12.2017 13:45:42;;10899;;
6;66;9;26;True;08.12.2017 14:21:31;;10899;;
7;30;12;29;True;08.12.2017 14:58:02;;10899;;
8;57;10;35;True;08.12.2017 15:35:38;;10899;;
9;111;6;35;True;08.12.2017 16:06:10;Белоброский;10899;;
10;132;4;29;True;08.12.2017 16:41:16;Белоброский;10899;;
11;105;6;23;True;08.12.2017 17:22:35;Белоброский;10899;;
12;51;10;23;True;09.12.2017 14:38:13;Ганцев;10900;не устанавливается;
13;18;13;26;True;09.12.2017 15:22:00;Ганцев;10898;ТВС не устанавливается в яч. 13-26 АЗ;
14;21;13;32;True;09.12.2017 16:25:27;Белобродский;10898;ТВС не устанавливается;
15;33;12;35;True;09.12.2017 17:06:38;Белобродский;10899;;
16;72;9;38;True;09.12.2017 17:41:40;Белобродский;10899;;
17;99;7;38;True;09.12.2017 18:28:57;Белобродский;10899;;
18;135;4;35;True;09.12.2017 19:02:51;Белобродский;10899;;
19;144;3;32;True;09.12.2017 19:39:27;Белобродский;10899;;
20;141;3;26;True;09.12.2017 20:12:28;Белобродский;10899;;
21;129;4;23;True;09.12.2017 20:44:11;Белобродский;10899;;
22;90;7;20;True;10.12.2017 9:43:19;Опалев;10899;;
23;63;9;20;True;10.12.2017 10:14:48;Опалев;10899;;
24;27;12;23;True;10.12.2017 10:46:18;Опалев;10899;;
25;10;14;29;True;10.12.2017 11:21:08;Опалев;10899;;
26;46;11;38;True;10.12.2017 11:54:59;Опалев;10899;;
27;125;5;38;True;10.12.2017 12:30:48;Опалев;10899;;
28;152;2;29;True;10.12.2017 13:04:19;Опалев;10899;;
29;116;5;20;True;10.12.2017 13:44:35;Опалев;10899;;
30;37;11;20;True;10.12.2017 15:32:06;Опалев;10899;;
31;7;14;23;True;10.12.2017 16:11:33;Опалев;10899;;
32;13;14;35;True;10.12.2017 17:06:29;Ганцев;10899;;
33;87;8;41;True;10.12.2017 17:48:53;Ганцев;10899;;
34;155;2;35;True;10.12.2017 18:18:12;Ганцев;10899;;
35;149;2;23;True;10.12.2017 19:02:40;Ганцев;10899;;
36;75;8;17;True;10.12.2017 19:30:36;Ганцев;10899;;
37;1;15;26;True;10.12.2017 19:59:08;Ганцев;10899;;
38;4;15;32;True;10.12.2017 21:09:02;Ганцев;10899;;
39;24;13;38;True;10.12.2017 21:28:26;Ганцев;10899;;
40;60;10;41;True;10.12.2017 22:06:02;Ганцев;10899;;
41;114;6;41;True;10.12.2017 22:46:38;Ганцев;10899;;
42;147;3;38;True;10.12.2017 23:30:06;Ганцев;10899;;
43;161;1;32;True;11.12.2017 0:18:44;Белобродский;10899;;
44;158;1;26;True;11.12.2017 0:52:14;Белобродский;10899;;
45;138;3;20;True;11.12.2017 1:24:23;Белобродский;10899;;
46;102;6;17;True;11.12.2017 1:57:24;Белобродский;10899;;
47;48;10;17;True;11.12.2017 2:29:41;Белобродский;10899;;
48;15;13;20;True;11.12.2017 3:00:00;Белобродский;10899;;
49;81;8;29;True;11.12.2017 21:32:55;Ганцев;10899;;
50;40;11;26;True;11.12.2017 22:05:05;Ганцев;10899;;
51;43;11;32;True;11.12.2017 22:35:16;Ганцев;10899;;
52;84;8;35;True;11.12.2017 23:42:31;Ганцев;10899;;
53;122;5;32;True;12.12.2017 0:12:39;Ганцев;10899;;
54;119;5;26;True;12.12.2017 0:44:50;Ганцев;10899;;
55;78;8;23;True;12.12.2017 1:15:02;Ганцев;10899;;
56;28;12;25;True;12.12.2017 1:47:30;Ганцев;10899;;
57;32;12;33;True;12.12.2017 2:36:00;Ганцев;10899;;
58;85;8;37;True;12.12.2017 3:15:39;Белобродский;10899;;
59;134;4;33;True;12.12.2017 4:16:00;Белобродский;10899;;
60;130;4;25;True;12.12.2017 4:50:41;Белобродский;10899;;
61;77;8;21;True;12.12.2017 5:44:16;Белобродский;10899;;
62;53;10;27;True;12.12.2017 6:25:13;Белобродский;10899;;
63;55;10;31;True;12.12.2017 11:50:03;Федоровых;10899;;
64;83;8;33;True;12.12.2017 12:34:24;Федоровых;10899;;
65;109;6;31;True;12.12.2017 13:19:55;Федоровых;10899;;
66;107;6;27;True;12.12.2017 13:54:55;Федоровых;10899;;
67;79;8;25;True;12.12.2017 14:32:36;Федоровых;10899;;
68;67;9;28;True;12.12.2017 15:04:12;Федоровых;10899;;
